timestamp,household_id,consumption_kwh,temperature_celsius,occupancy,day_of_week
2024-01-01 00:00:00,1001,1.35,6.0,1,Monday
2024-01-01 00:00:00,1002,1.65,5.0,1,Monday
2024-01-01 00:00:00,1003,,8.2,1,Monday
2024-01-01 00:00:00,1004,1.62,5.0,1,Monday
2024-01-01 00:00:00,1005,1.4,5.5,1,Monday
2024-01-01 00:00:00,1006,1.15,6.6,1,Monday
2024-01-01 00:00:00,1007,1.6,5.0,1,Monday
2024-01-01 00:00:00,1008,1.79,5.0,1,Monday
2024-01-01 00:00:00,1009,1.77,5.0,1,Monday
2024-01-01 00:00:00,1010,1.86,5.0,1,Monday
2024-01-01 00:00:00,1011,1.97,5.0,1,Monday
2024-01-01 00:00:00,1012,1.82,5.0,1,Monday
2024-01-01 00:00:00,1013,1.27,6.6,1,Monday
2024-01-01 00:00:00,1014,0.58,10.6,1,Monday
2024-01-01 00:00:00,1015,1.48,6.5,1,Monday
2024-01-01 00:00:00,1016,1.75,5.0,1,Monday
2024-01-01 00:00:00,1017,2.02,5.0,1,Monday
2024-01-01 00:00:00,1018,1.95,5.0,1,Monday
2024-01-01 00:00:00,1019,,5.0,1,Monday
2024-01-01 00:00:00,1020,1.72,6.2,1,Monday
2024-01-01 00:00:00,1021,1.97,5.0,1,Monday
2024-01-01 00:00:00,1022,2.13,5.0,1,Monday
2024-01-01 00:00:00,1023,1.92,5.0,1,Monday
2024-01-01 00:00:00,1024,1.57,6.7,1,Monday
2024-01-01 00:00:00,1025,1.79,5.7,1,Monday
2024-01-01 00:00:00,1026,1.19,8.0,1,Monday
2024-01-01 00:00:00,1027,,5.0,1,Monday
2024-01-01 00:00:00,1028,2.25,5.0,1,Monday
2024-01-01 00:00:00,1029,2.2,5.0,1,Monday
2024-01-01 00:00:00,1030,2.26,5.0,1,Monday
2024-01-01 00:00:00,1031,2.14,5.0,1,Monday
2024-01-01 00:00:00,1032,2.01,6.0,1,Monday
2024-01-01 00:00:00,1033,2.3,5.0,1,Monday
2024-01-01 00:00:00,1034,1.35,7.7,1,Monday
2024-01-01 00:00:00,1035,2.24,5.0,1,Monday
2024-01-01 00:00:00,1036,1.39,7.5,1,Monday
2024-01-01 00:00:00,1037,2.29,5.0,1,Monday
2024-01-01 00:00:00,1038,2.31,5.0,1,Monday
2024-01-01 00:00:00,1039,2.41,5.0,1,Monday
2024-01-01 00:00:00,1040,2.55,5.0,1,Monday
2024-01-01 00:00:00,1041,2.4,5.0,1,Monday
2024-01-01 00:00:00,1042,2.29,5.2,1,Monday
2024-01-01 00:00:00,1043,2.48,5.0,1,Monday
2024-01-01 00:00:00,1044,2.21,5.7,1,Monday
2024-01-01 00:00:00,1045,1.72,7.3,1,Monday
2024-01-01 00:00:00,1046,2.67,5.0,1,Monday
2024-01-01 00:00:00,1047,2.35,6.2,1,Monday
2024-01-01 00:00:00,1048,2.66,5.0,1,Monday
2024-01-01 00:00:00,1049,2.42,5.2,1,Monday
2024-01-01 00:00:00,1050,2.53,5.0,1,Monday
2024-01-01 01:00:00,1001,1.64,5.0,1,Monday
2024-01-01 01:00:00,1002,1.22,6.6,1,Monday
